Country	Type	Mountain	Latitude	Longitude	Elevation
India	Mountain	Varar Mountain	23.34923	69.56614	950 m
India	Mountain	Bhujio Mountain	23.2444006	69.6927009	645 m
India	Mountain	Sunda Mountain	24.778798	72.419653	3078 m
India	Mountain	Guru Sikhar	24.64907	72.76698	1722 m
India	Mountain	Nima Dhora Mountain	28.026463	74.519715	1053 m
India	Mountain	Gir Bhakar Mountain	26.731161	73.172531	1262 m
India	Mountain	Bundi Mountain	25.414343	75.584104	880 m
India	Mountain	Undalia Mountain	25.508172	75.673436	1588 m
India	Mountain	Naulaka Hill Mountain	25.537418	75.713	1568 m
India	Mountain	Kapuri Pahari	28.011556	76.10875	1022 m
India	Mountain	Lal Pahadi	28.008933	76.427953	978 m
India	Mountain	Jaar Pahar Peak	25.458513	78.560158	817 m
India	Mountain	Mount Abu	24.598326	73.67969	1722 m
India	Mountain	Mukandra Mountain	24.83067	75.91722	1086 m
India	Mountain	Pagaria Mountain	24.132535	75.832429	1298 m
India	Mountain	Sanchi Mountain	23.478851	77.739775	434 m
India	Mountain	Luhagi Mountain	23.526836	77.814398	1472 m
India	Mountain	Mala Dongri Mountain	23.09955	77.349813	1848 m
India	Mountain	Dhondi Dant Mountain	23.033148	77.350875	1890 m
India	Mountain	Sajum Mountain	33.329537	79.007977	5695 m
India	Mountain	Thalay Sagar Mountain	30.858395	78.997476	6530 m
India	Mountain	Shivling Mountain	30.876644	79.065602	6033 m
India	Mountain	Kedarnath Mountain	30.808878	79.07608	6675 m
India	Mountain	Chaukhamba Mountain	30.731213	79.283044	6579 m
India	Mountain	Nikantha Mountain	30.729665	79.394465	6596 m
India	Mountain	Abi Gamin	30.933333	79.6	7355 m
India	Mountain	Nanga Prabhat Mountain	30.758974	79.460937	4524 m
India	Mountain	Hathi Prabhat Mountain	30.680599	79.705187	5905 m
India	Mountain	Rataban Mountain	30.744358	79.75728	4501 m
India	Mountain	Trishul Mountain	30.313113	79.783297	7000 m
India	Mountain	Dunagiri Mountain	30.513301	79.868489	7066 m
India	Mountain	Changabang Mountain	30.496236	79.923934	6864 m
India	Mountain	Hardeol	30.560081	80.00707	7161 m
India	Mountain	Nanda Gond	30.530081	80.119785	6315 m
India	Mountain	Nanda Pal	30.52	80.14	6306 m
India	Mountain	Nanda Devi	30.375942	79.970848	7817 m
India	Mountain	Changuch Mountain	30.29	80.04	6861 m
India	Mountain	Nanda Kot Mountain	30.280785	80.067157	6861 m
India	Mountain	Gwanagarh Mountain	30.212984	79.0815684	2806 m
India	Mountain	Suj Tilla East Peak	30.32981	80.380142	6394 m
India	Mountain	Om Mountain	30.342958	80.409493	5080 m
India	Mountain	Rajrambha Mountain	30.246426	80.376006	6510 m
India	Mountain	Nagalaphu Peak	30.24	80.43	6410 m
India	Mountain	Panchchuli Mountain	30.212951	80.427102	6334 m
India	Mountain	Abbout Mountain	29.427812	80.083505	2018 m
India	Mountain	Bagraj Mountain	25.313335	79.648905	689 m
India	Mountain	Vindhya Mountain	24.602317	82.008912	1048 m
India	Mountain	Deogarh Mountain	23.532085	82.26754	833 m
India	Mountain	Bahmangarh Mountain	22.864885	81.773243	3415 m
India	Mountain	Ramgarh Mountain	22.946137	82.867563	2140 m
India	Mountain	Mainpat Mountain	22.798156	83.26539	3545 m
India	Mountain	Domo Mountain	27.882857	88.150436	6793 m
India	Mountain	Pyramid Peak	27.816448	88.183075	6248 m
